chr	start	end
chr13	71103800	71104799
chr2	238471400	238473999
chr13	111905000	111908799
chr18	58152000	58154399
chr3	169977200	169979799
chr4	127178400	127179399
chr3	117288400	117288999
chr15	67698800	67700199
chr7	125352600	125356199
chr3	132585200	132587199
chr10	31156800	31158199
chr9	68229800	68234599
chr2	210643000	210644999
chr8	105449600	105451599
chr2	117906000	117908199
chr13	87536600	87537199
chr16	41152800	41154599
chr15	4691200	4692399
chr13	96054200	96056199
chr7	60787600	60788599
chr14	79085800	79087399
chr20	46160200	46161199
chr8	105998800	106001399
chr4	101071800	101072999
chr2	225168200	225170599
chr2	25130400	25133399
chr5	90405200	90406599
chr4	165673200	165675199
chr4	157236400	157240999
chr13	105000000	105001399
chr18	5933200	5935599
chr8	111494000	111495599
chr16	45084800	45086399
chr8	109649400	109651599
chr15	86818400	86819199
chr15	106008400	106009399
chr3	6178600	6181199
chr3	158510000	158511599
chr16	27054800	27055599
chr20	27626000	27627199
chr3	120265200	120268599
chr1	265347800	265348599
chr13	85606200	85607799
chr11	64638000	64639399
chr1	192584000	192585599
chr14	22301200	22302599
chr4	123923000	123925399
chr7	114932600	114934799
chr12	49844600	49846399
chr15	36449200	36451599
chr1	146549600	146555199
chr8	48194800	48196199
chr11	81558000	81558599
chr2	9117000	9119399
chr2	25466400	25468199
chr1	134451800	134454799
chr13	96824000	96827399
chr1	244901600	244902999
chr9	4826000	4826599
chr6	47449400	47450999
chr5	108803600	108805399
chr13	44068400	44071799
chr17	59181400	59182199
chr13	87982000	87983799
chr17	27096800	27097999
chr9	4099400	4100999
chr6	107756000	107757399
chr13	111296000	111301399
chr5	148649000	148650399
chr1	159066800	159068199
chr10	106836600	106837399
chr18	62100800	62101999
chr9	18256000	18258399
chr12	32969000	32971199
chr8	104818200	104820599
chr20	45950400	45952799
chr3	55267400	55269799
chr11	74548800	74551599
chr8	129681400	129681999
chr1	70664200	70665399
chr20	6466600	6469599
chr1	147795600	147798599
