Chromosome	 Peak Start	 Peak End	 Chromosome	 Gene Start	 Gene End	 Gene ID	 Gene Name	 Distance-of-Gene-to-Nearest-Peak
1	48800	51199	1	393400	410176	ENSRNOG00000046319	Vom2r3	0

1	53000	53799	1	393400	410176	ENSRNOG00000046319	Vom2r3	0

1	265600	266999	1	393400	410176	ENSRNOG00000046319	Vom2r3	0

1	506600	507999	1	696113	708565	ENSRNOG00000047964	LOC100909608	0

1	669400	672199	1	696113	708565	ENSRNOG00000047964	LOC100909608	0

1	725200	728399	1	744116	758945	ENSRNOG00000050370	Vom2r6	0

1	771600	772799	1	804362	816817	ENSRNOG00000032365	Vom2r5	0

1	950200	951399	1	1101465	1120226	ENSRNOG00000040300	Raet1l	0

1	1113200	1118399	1	1101465	1120226	ENSRNOG00000040300	Raet1l	0

1	1180200	1187599	1	1177632	1221416	ENSRNOG00000061316	AABR07000121.1	0

1	1212800	1214399	1	1177632	1221416	ENSRNOG00000061316	AABR07000121.1	0

1	1238400	1239599	1	1389628	1395629	ENSRNOG00000050129	AABR07000137.1	0

1	1255200	1256599	1	1389628	1395629	ENSRNOG00000050129	AABR07000137.1	0

1	1273400	1276199	1	1389628	1395629	ENSRNOG00000050129	AABR07000137.1	0

1	1367000	1375199	1	1389628	1395629	ENSRNOG00000050129	AABR07000137.1	0

1	1393200	1395799	1	1389628	1395629	ENSRNOG00000050129	AABR07000137.1	0

1	1398000	1404799	1	1438599	1445486	ENSRNOG00000040316	AABR07000145.1	0

1	1415400	1416599	1	1438599	1445486	ENSRNOG00000040316	AABR07000145.1	0

1	1424200	1425999	1	1438599	1445486	ENSRNOG00000040316	AABR07000145.1	0

1	1451000	1453599	1	1454368	1478146	ENSRNOG00000023659	Raet1d	0

1	1525600	1532999	1	1541834	1546669	ENSRNOG00000029897	AABR07000156.1	0

1	1533600	1536599	1	1541834	1546669	ENSRNOG00000029897	AABR07000156.1	0

1	1580000	1581399	1	1614085	1620134	ENSRNOG00000042852	LOC679782	0

1	1583200	1584599	1	1614085	1620134	ENSRNOG00000042852	LOC679782	0

1	1668400	1669599	1	1668586	1672661	ENSRNOG00000055877	AABR07000159.5	0

1	1963600	1972399	1	1935119	1973418	ENSRNOG00000016041	Zc3h12d	0

1	1987000	1988599	1	1999096	2077196	ENSRNOG00000016054	Tab2	0

1	2149000	2150999	1	2333278	2631047	ENSRNOG00000016381	Ust	0

1	2159000	2160199	1	2333278	2631047	ENSRNOG00000016381	Ust	0

1	2164200	2166199	1	2333278	2631047	ENSRNOG00000016381	Ust	0

1	2216200	2219399	1	2333278	2631047	ENSRNOG00000016381	Ust	0

1	2228800	2231799	1	2333278	2631047	ENSRNOG00000016381	Ust	0

1	2262600	2264199	1	2333278	2631047	ENSRNOG00000016381	Ust	0

1	2336600	2340399	1	2333278	2631047	ENSRNOG00000016381	Ust	0

1	2345800	2347399	1	2333278	2631047	ENSRNOG00000016381	Ust	0

1	2348400	2349799	1	2333278	2631047	ENSRNOG00000016381	Ust	0

1	2483000	2486599	1	2333278	2631047	ENSRNOG00000016381	Ust	0

1	2569800	2572599	1	2333278	2631047	ENSRNOG00000016381	Ust	0

1	2671200	2671799	1	2716999	2720903	ENSRNOG00000054005	U6	0

1	2823000	2825199	1	2782364	2849500	ENSRNOG00000013160	Sash1	0

1	3107800	3109599	1	3713250	3766692	ENSRNOG00000023549	Samd5	0

1	3137000	3137799	1	3713250	3766692	ENSRNOG00000023549	Samd5	0

1	3145400	3146399	1	3713250	3766692	ENSRNOG00000023549	Samd5	0

1	3325200	3326399	1	3713250	3766692	ENSRNOG00000023549	Samd5	0

1	4428200	4429599	1	4444527	4564089	ENSRNOG00000042741	Adgb	0

1	4673800	4675199	1	4728637	4732567	ENSRNOG00000057302	SNORA17	0

1	5186400	5188599	1	5236880	5313554	ENSRNOG00000014450	Shprh	0

1	5220200	5221999	1	5236880	5313554	ENSRNOG00000014450	Shprh	0

1	5792600	5793599	1	6035301	6039227	ENSRNOG00000058048	SNORA31	0

1	6293400	6296399	1	6436755	6440744	ENSRNOG00000053880	SNORA73	0

1	6429000	6430399	1	6436755	6440744	ENSRNOG00000053880	SNORA73	0

1	6967600	6970999	1	6451310	6973340	ENSRNOG00000011058	Utrn	0

1	7033600	7036599	1	7038662	7068170	ENSRNOG00000014902	Stx11	0

1	7039600	7045399	1	7038662	7068170	ENSRNOG00000014902	Stx11	0

1	7050200	7051399	1	7038662	7068170	ENSRNOG00000014902	Stx11	0

1	7075200	7080599	1	7098415	7102926	ENSRNOG00000014908	Sf3b5	0

1	7087600	7093799	1	7098415	7102926	ENSRNOG00000014908	Sf3b5	0

1	7156800	7162599	1	7168207	7172114	ENSRNOG00000036310	AABR07000257.1	0

1	7251800	7256999	1	7249049	7259535	ENSRNOG00000025587	Plagl1	0

1	7301600	7303199	1	7293527	7325755	ENSRNOG00000042705	Zc2hc1b	0

1	7355000	7356799	1	7354654	7484125	ENSRNOG00000015473	Phactr2	0

1	7369200	7374599	1	7354654	7484125	ENSRNOG00000015473	Phactr2	0

1	7412800	7414199	1	7354654	7484125	ENSRNOG00000015473	Phactr2	0

1	7518800	7519799	1	7655590	7674183	ENSRNOG00000015551	Fuca2	0

1	7562600	7563999	1	7655590	7674183	ENSRNOG00000015551	Fuca2	0

1	7603000	7604199	1	7655590	7674183	ENSRNOG00000015551	Fuca2	0

1	7630600	7640199	1	7655590	7674183	ENSRNOG00000015551	Fuca2	0

1	7654200	7655399	1	7655590	7674183	ENSRNOG00000015551	Fuca2	0

1	7791600	7792599	1	7800441	7804738	ENSRNOG00000016624	AABR07000276.1	0

1	7800600	7801199	1	7800441	7804738	ENSRNOG00000016624	AABR07000276.1	0

1	8400000	8402199	1	8464833	8469391	ENSRNOG00000011399	Rn50_1_0101.1	0

1	8453800	8454799	1	8464833	8469391	ENSRNOG00000011399	Rn50_1_0101.1	0

1	8785200	8785599	1	8829911	8881544	ENSRNOG00000011540	Vta1	0

1	9140600	9142799	1	9198584	9202514	ENSRNOG00000059930	SNORA17	0

1	9720600	9721199	1	9845003	9849953	ENSRNOG00000059032	AABR07000325.1	0

1	9823800	9824399	1	9845003	9849953	ENSRNOG00000059032	AABR07000325.1	0

1	9839200	9841599	1	9845003	9849953	ENSRNOG00000059032	AABR07000325.1	0

1	11646600	11647199	1	11754930	11759668	ENSRNOG00000047193	Olr905	0

1	11924200	11930999	1	11959450	11963336	ENSRNOG00000061685	pRNA	0

1	12006200	12007199	1	12003298	12137137	ENSRNOG00000055789	AABR07000411.1	0

1	12094000	12094799	1	12003298	12137137	ENSRNOG00000055789	AABR07000411.1	0

1	12731800	12732999	1	12682524	12761259	ENSRNOG00000056019	AC128394.2	0

1	12769200	12772399	1	12776437	12802103	ENSRNOG00000059861	AC128394.3	0

1	12842800	12844399	1	12903599	12908681	ENSRNOG00000055972	AC128394.1	0

1	12927800	12929599	1	12912434	12962170	ENSRNOG00000060021	Txlnb	0

1	12941600	12945199	1	12912434	12962170	ENSRNOG00000060021	Txlnb	0

1	13126400	13127799	1	13165072	13179176	ENSRNOG00000051450	Abracl	0

1	13132000	13134399	1	13165072	13179176	ENSRNOG00000051450	Abracl	0

1	13246200	13247599	1	13209024	13298847	ENSRNOG00000059224	Reps1	0

1	13470800	13476399	1	13581840	13585724	ENSRNOG00000059393	U6	0

1	13509600	13531199	1	13581840	13585724	ENSRNOG00000059393	U6	0

1	13567400	13574399	1	13581840	13585724	ENSRNOG00000059393	U6	0

1	13617200	13619199	1	13591995	13705896	ENSRNOG00000060603	Nhsl1	0

1	13629600	13630599	1	13591995	13705896	ENSRNOG00000060603	Nhsl1	0

1	13686000	13687999	1	13591995	13705896	ENSRNOG00000060603	Nhsl1	0

1	13695800	13700999	1	13591995	13705896	ENSRNOG00000060603	Nhsl1	0

1	13714600	13720399	1	13713940	13723129	ENSRNOG00000053735	Hebp2	0

1	13816600	13817399	1	13838207	13918894	ENSRNOG00000011460	Arfgef3	0

1	14093800	14094599	1	14114648	14120321	ENSRNOG00000025799	RGD1560303	0

1	14102400	14102799	1	14114648	14120321	ENSRNOG00000025799	RGD1560303	0

1	14124600	14125999	1	14221093	14237346	ENSRNOG00000011994	Perp	0

1	14144200	14146599	1	14221093	14237346	ENSRNOG00000011994	Perp	0

1	14194800	14195599	1	14221093	14237346	ENSRNOG00000011994	Perp	0

1	14197000	14198799	1	14221093	14237346	ENSRNOG00000011994	Perp	0

1	14199800	14201199	1	14221093	14237346	ENSRNOG00000011994	Perp	0

1	14223400	14229799	1	14221093	14237346	ENSRNOG00000011994	Perp	0

1	14360600	14361799	1	14402413	14416107	ENSRNOG00000049517	Tnfaip3	0

1	14700600	14701799	1	14794466	14800335	ENSRNOG00000012057	Olig3	0

1	14714000	14716999	1	14794466	14800335	ENSRNOG00000012057	Olig3	0

1	14739400	14742399	1	14794466	14800335	ENSRNOG00000012057	Olig3	0

1	14771600	14774999	1	14794466	14800335	ENSRNOG00000012057	Olig3	0

1	14859400	14861399	1	14934930	14951281	ENSRNOG00000053291	AABR07000493.1	0

1	14913600	14916799	1	14934930	14951281	ENSRNOG00000053291	AABR07000493.1	0

1	14923200	14936999	1	14934930	14951281	ENSRNOG00000053291	AABR07000493.1	0

1	14946400	14949799	1	14934930	14951281	ENSRNOG00000053291	AABR07000493.1	0

1	14950400	14955399	1	14934930	14951281	ENSRNOG00000053291	AABR07000493.1	0

1	15156600	15158199	1	15177028	15223285	ENSRNOG00000012286	Il20ra	0

1	15165000	15166799	1	15177028	15223285	ENSRNOG00000012286	Il20ra	0

1	15167800	15168799	1	15177028	15223285	ENSRNOG00000012286	Il20ra	0

1	15169400	15171999	1	15177028	15223285	ENSRNOG00000012286	Il20ra	0

1	15193200	15195599	1	15177028	15223285	ENSRNOG00000012286	Il20ra	0

1	15248000	15249999	1	15244033	15256428	ENSRNOG00000057719	AC136053.1	0

1	15280400	15282399	1	15298026	15305298	ENSRNOG00000012311	Slc35d3	0

1	15298400	15308799	1	15298026	15305298	ENSRNOG00000012311	Slc35d3	0

1	15415400	15417599	1	15409303	15614246	ENSRNOG00000031700	Map3k5	0

1	15530200	15530399	1	15409303	15614246	ENSRNOG00000031700	Map3k5	0

1	16399000	16400199	1	16445876	16463607	ENSRNOG00000053617	AABR07000523.1	0

1	16684200	16686199	1	16658942	16691117	ENSRNOG00000055858	Myb	0

1	16686800	16688199	1	16658942	16691117	ENSRNOG00000055858	Myb	0

1	16703200	16704599	1	16815870	16896719	ENSRNOG00000014531	Hbs1l	0

1	16719000	16720399	1	16815870	16896719	ENSRNOG00000014531	Hbs1l	0

1	16720800	16721599	1	16815870	16896719	ENSRNOG00000014531	Hbs1l	0

1	16974000	16975199	1	16986882	16992782	ENSRNOG00000048762	AABR07000534.1	0

1	18065600	18066599	1	18085552	18089454	ENSRNOG00000047754	AABR07000574.1	0

1	18079600	18080799	1	18085552	18089454	ENSRNOG00000047754	AABR07000574.1	0

1	18337600	18338799	1	18350512	18355034	ENSRNOG00000028519	AABR07000581.1	0

1	18363000	18363599	1	18488084	19143769	ENSRNOG00000011134	Lama2	0

1	18441200	18442599	1	18488084	19143769	ENSRNOG00000011134	Lama2	0

1	18700800	18701999	1	18488084	19143769	ENSRNOG00000011134	Lama2	0

1	18709000	18710199	1	18488084	19143769	ENSRNOG00000011134	Lama2	0

1	19460600	19464199	1	19520708	19525471	ENSRNOG00000030796	AABR07000595.1	0

1	19471600	19472799	1	19520708	19525471	ENSRNOG00000030796	AABR07000595.1	0

1	19526200	19526799	1	19637606	19643629	ENSRNOG00000051380	AABR07000611.1	0

1	19670800	19672599	1	20019493	20097599	ENSRNOG00000011720	L3mbtl3	0

1	19740000	19740799	1	20019493	20097599	ENSRNOG00000011720	L3mbtl3	0

1	19906600	19908599	1	20019493	20097599	ENSRNOG00000011720	L3mbtl3	0

1	20117200	20117799	1	20125466	20159260	ENSRNOG00000039955	Samd3	0

1	20205800	20206199	1	20237886	20247210	ENSRNOG00000050801	AABR07000629.2	0

1	20334400	20337999	1	20328676	20412881	ENSRNOG00000047783	Tmem200a	0

1	20373000	20373599	1	20328676	20412881	ENSRNOG00000047783	Tmem200a	0

1	20483400	20484399	1	20735256	20740605	ENSRNOG00000056218	AABR07000639.1	0

1	20619800	20621199	1	20735256	20740605	ENSRNOG00000056218	AABR07000639.1	0

1	20635800	20636999	1	20735256	20740605	ENSRNOG00000056218	AABR07000639.1	0

1	21317800	21322599	1	21405302	21438188	ENSRNOG00000053999	AABR07071851.2	0

1	21369000	21371999	1	21405302	21438188	ENSRNOG00000053999	AABR07071851.2	0

1	21431200	21433799	1	21405302	21438188	ENSRNOG00000053999	AABR07071851.2	0

1	21471800	21473399	1	21522121	21538363	ENSRNOG00000013304	Arg1	0

1	21524600	21528799	1	21522121	21538363	ENSRNOG00000013304	Arg1	0

1	21533600	21534999	1	21522121	21538363	ENSRNOG00000013304	Arg1	0

1	21606200	21608199	1	21609848	21684980	ENSRNOG00000013791	Enpp3	0

1	21610600	21615199	1	21609848	21684980	ENSRNOG00000013791	Enpp3	0

1	21615800	21616799	1	21609848	21684980	ENSRNOG00000013791	Enpp3	0

1	21747600	21748799	1	21744961	21813871	ENSRNOG00000013994	Enpp1	0

1	21750400	21751599	1	21744961	21813871	ENSRNOG00000013994	Enpp1	0

1	21860000	21861999	1	22123995	22209805	ENSRNOG00000015321	Moxd1	0

1	22084800	22088799	1	22123995	22209805	ENSRNOG00000015321	Moxd1	0

1	22095400	22096799	1	22123995	22209805	ENSRNOG00000015321	Moxd1	0

