chr	start	end
chr1	9567800	9568399
chr1	10590800	10591799
chr1	11230200	11230999
chr1	13371400	13374399
chr1	24079600	24081399
chr1	31021800	31024799
chr1	34004200	34006399
chr1	34007000	34009199
chr1	34219200	34221199
chr1	34819200	34821399
chr1	36652200	36654999
chr1	39434400	39436999
chr1	39452000	39454599
chr1	40612400	40614799
chr1	51220800	51222399
chr1	52119000	52121599
chr1	52702400	52704199
chr1	57985200	57987799
chr1	58287200	58289199
chr1	59119200	59121399
chr1	59523400	59524999
chr1	62412200	62412999
chr1	63584000	63585399
chr1	70809800	70811399
chr1	72360200	72361999
chr1	74864600	74865799
chr1	75209000	75213599
chr1	75236600	75239399
chr1	77507800	77508999
chr1	78110400	78111599
chr1	87939200	87941999
chr1	88021600	88023199
chr1	88271200	88292599
chr1	91220600	91221799
chr1	91969000	91969799
chr1	92051400	92053799
chr1	93334400	93337799
chr1	93781400	93783999
chr1	107920200	107921199
chr1	128065400	128067199
chr1	130769600	130771999
chr1	131158400	131160599
chr1	131600200	131602799
chr1	132228400	132231199
chr1	133419600	133421799
chr1	134125000	134126999
chr1	134179600	134180799
chr1	134492000	134493199
chr1	135585800	135588399
chr1	136196000	136197599
chr1	151574600	151575999
chr1	152523000	152523999
chr1	152557800	152559599
chr1	153910000	153912399
chr1	159924200	159926199
chr1	164112600	164113799
chr1	167364200	167365399
chr1	168283800	168285399
chr1	168408200	168409199
chr1	171632800	171634999
chr1	175257600	175258799
chr1	179597000	179599599
chr1	180177800	180180799
chr1	182859000	182860399
chr1	184057200	184058399
chr1	184807200	184808599
chr1	188778400	188780199
chr1	190710600	190712199
chr1	190793200	190795399
chr1	190902600	190902999
chr1	191900800	191902799
chr1	192839200	192840999
chr1	194755600	194757399
chr1	195241600	195241999
chr2	5949800	5952399
chr2	11482800	11485399
chr2	18902400	18903799
chr2	22587400	22588199
chr2	26927600	26929799
chr2	26975600	26977599
chr2	27475400	27477399
chr2	27532600	27533999
chr2	27740800	27742999
chr2	29180200	29181599
chr2	29366600	29368999
chr2	29416000	29418599
chr2	31206600	31208199
chr2	32771400	32773199
chr2	33226400	33227799
chr2	36244600	36245999
chr2	49327000	49328799
chr2	60098400	60100599
chr2	60530000	60530799
chr2	72722800	72724799
chr2	73867800	73868599
chr2	83774400	83776599
chr2	90940000	90942999
chr2	92340400	92342799
chr2	92454400	92456199
chr2	92948200	92950799
chr2	93665400	93666799
chr2	93709200	93711399
chr2	103360400	103361799
chr2	104493200	104495399
chr2	105652000	105652999
chr2	118028000	118029199
chr2	118410600	118413199
chr2	119788600	119791399
chr2	120313400	120315399
chr2	120819000	120820199
chr2	121134000	121136599
chr2	121796000	121798399
chr2	128222800	128224599
chr2	128863600	128865799
chr2	130496000	130498199
chr2	130696200	130699199
chr2	131044600	131046399
chr2	135807200	135809799
chr2	135988600	135989399
chr2	136957800	136958999
chr2	142863600	142864399
chr2	142895800	142898199
chr2	143842600	143844399
chr2	145790600	145792399
chr2	146072000	146073599
chr2	146479800	146482199
chr2	151971200	151972599
chr2	152894200	152895999
chr2	153955800	153957799
chr2	156062000	156063599
chr2	156370600	156372399
chr2	158385200	158388399
chr2	160367800	160368799
chr2	160730200	160731599
chr2	164614400	164615799
chr2	165310200	165312999
chr2	167088000	167089999
chr2	167616000	167618199
chr2	168584400	168587199
chr2	170504600	170505799
chr2	172353400	172355399
chr2	173615800	173617199
chr2	177321200	177321799
chr2	179922600	179925999
chr2	180042200	180044199
chr2	181181000	181182599
chr3	8553800	8555799
chr3	8668600	8670999
chr3	9480400	9481999
chr3	10010400	10012399
chr3	15527200	15528999
chr3	30413000	30414799
chr3	32557600	32559399
chr3	52101400	52103199
chr3	67590800	67592399
chr3	84230400	84233399
chr3	86612000	86612799
chr3	87806000	87807799
chr3	87973000	87974999
chr3	88335800	88337199
chr3	89885200	89886799
chr3	90106600	90108999
chr3	94974200	94977199
chr3	96044600	96044999
chr3	96450200	96451399
chr3	96634000	96635999
chr3	96844000	96845199
chr3	97043600	97046199
chr3	99255800	99257399
chr3	101578000	101580799
chr3	104221000	104222999
chr3	105071400	105073599
chr3	107977800	107978799
chr3	108985000	108987599
chr3	122510400	122513399
chr3	122621600	122623599
chr3	130537200	130539799
chr3	142570000	142571199
chr3	146766200	146768599
chr3	146919200	146920999
chr3	152314000	152315199
chr3	154182600	154185199
chr3	154835600	154836399
chr4	5662800	5665799
chr4	19523400	19525599
chr4	21929600	21931999
chr4	33054800	33056799
chr4	42218000	42219399
chr4	43498600	43500799
chr4	43552800	43553999
chr4	45518200	45520199
chr4	45866200	45868199
chr4	45948200	45949999
chr4	46003800	46005799
chr4	46564800	46566399
chr4	47242200	47244199
chr4	48640200	48642199
chr4	49072600	49074799
chr4	55182200	55183999
chr4	56844600	56846799
chr4	57744000	57745999
chr4	59597400	59598999
chr4	61676000	61677799
chr4	63372800	63374599
chr4	80002800	80002999
chr4	83539600	83540999
chr4	97702800	97703999
chr4	97996200	97998799
chr4	101270800	101272599
chr4	101292000	101294199
chr4	103113600	103115199
chr4	106315400	106318399
chr4	107726000	107726999
chr4	109836600	109837399
chr4	114833400	114835399
chr4	116015400	116017599
chr4	116075600	116077399
chr4	117361800	117363599
chr4	117873400	117874599
chr4	118125600	118128199
chr4	119217400	119218799
chr4	119835000	119837799
chr4	120540200	120543199
chr4	121167600	121169399
chr4	123192400	123194199
chr4	124537600	124539399
chr4	124654000	124655399
chr4	124806600	124807399
chr4	126441200	126443799
chr4	126957400	126958999
chr4	128695000	128696599
chr4	129648000	129650399
chr4	129961000	129963799
chr4	135305200	135306599
chr4	135397200	135398999
