chr	start	end
19	14891000	14891399
16	83172400	83174599
14	7596200	7597399
14	7616800	7618599
12	49408400	49428399
12	49441200	49452599
12	49456600	49457999
12	49458600	49464399
12	49468200	49482799
12	49510200	49513199
12	49525000	49530399
12	49537200	49540199
12	49549600	49560799
12	49561400	49606399
5	142590800	142592799
5	142611600	142613199
13	102708200	102723599
16	25108200	25109799
18	51838600	51844999
18	51845600	51847999
18	51855200	51860199
18	51860800	51863199
18	51863800	51867799
18	51885000	51893999
18	51897800	51898399
18	51950200	51952599
9	79848400	79850399
10	93653200	93655599
10	93731200	93732799
8	26561200	26563199
10	106206400	106207199
10	106208600	106212799
10	106214800	106219399
10	106220200	106222999
10	106227400	106228799
10	106229400	106231199
10	106240000	106249399
10	106252000	106255799
10	106284600	106286599
10	106291400	106293999
10	106315200	106319999
10	106327600	106330399
10	106360000	106371399
12	30618000	30619799
15	17722400	17723399
15	17757000	17757999
15	17864200	17866399
16	12955000	12956399
X	145517200	145517599
1	84846000	84847799
1	84848600	84851799
1	84860000	84860599
5	141536800	141542799
6	30461000	30462199
6	30466000	30466799
6	30479000	30479999
6	30490600	30493399
6	30626000	30626999
7	14800	20199
7	44200	44599
7	703200	715199
7	717400	731199
7	874400	874999
7	2024800	2025399
7	2091800	2092799
7	2216600	2222999
7	2239200	2245399
7	2247000	2253999
7	22101800	22102799
7	99478600	99483799
7	99484400	99485799
7	99502200	99507199
7	99517800	99529999
7	99531800	99534799
7	99544000	99545399
8	126757400	126758399
8	126759600	126761999
8	126765400	126766799
8	126807400	126809399
8	126822000	126822799
9	7520400	7520799
11	39044000	39066799
11	39087200	39118199
11	39192000	39199399
11	39206800	39207599
11	39223800	39229599
11	39230600	39230999
11	39232000	39233399
11	39241000	39247999
11	39254000	39258399
12	328400	329999
12	345400	348199
X	145875200	145876599
2	114800	128599
2	229400	229599
2	244400	244999
2	474400	474999
2	548000	552199
2	563800	564999
2	608000	608599
2	939600	940999
2	128774400	128778599
2	128792600	128807999
2	128827400	128828199
2	129122800	129123799
2	160965400	160966599
2	161003400	161004199
2	161022800	161024199
2	161116200	161119199
2	161127600	161131599
2	161504800	161505999
2	161749600	161750999
2	197019400	197021799
4	166664800	166671999
4	166676000	166676399
4	166678800	166679599
4	166681400	166685599
5	122988000	122990199
5	123107000	123108399
5	123189400	123190399
6	7112800	7113599
6	7132000	7134399
6	7135000	7141599
6	7161800	7168399
6	44941800	44943599
6	47211800	47213599
6	114396800	114398799
7	29258200	29259799
7	32469200	32473199
7	32675600	32679599
7	46939600	46940799
7	56688200	56690199
7	77564000	77564999
7	77565600	77568599
7	77577600	77580799
7	77646800	77649999
7	115313600	115317799
7	115350600	115353199
7	115354200	115363799
7	115441600	115453199
7	115455000	115468799
7	115478200	115482399
7	115500800	115507599
7	115508400	115522199
7	128125400	128128399
7	128153800	128156799
7	128182000	128183599
7	128207800	128214599
7	128221600	128222799
8	15405000	15405999
8	15410000	15410599
8	109730200	109733199
9	112830400	112830999
9	112919800	112921199
9	112942200	112944399
10	1127000	1128799
10	9921600	9923399
10	10024400	10028599
10	10044400	10046599
10	10140400	10141799
10	10150200	10150999
10	10421000	10424599
10	10431800	10434599
10	27215600	27217199
10	76518800	76522199
10	78726200	78727199
11	6266000	6268399
11	53372800	53373999
11	53467600	53470199
11	83739200	83741599
12	1516400	1517799
12	7630600	7633199
12	7634800	7636199
12	7637200	7641399
12	52272200	52276999
1	177931000	177932199
1	177982200	177982999
13	58571800	58572999
13	100490400	100504599
13	101852400	101853199
13	101878000	101878399
13	108213600	108220999
14	34683400	34686399
14	88961800	88965199
14	88995800	89000799
14	89018400	89020799
15	24632000	24632799
15	43181800	43182399
15	43230400	43232399
1	191086000	191102799
16	20210400	20214199
16	59794800	59795999
16	59827200	59828199
16	59879800	59881599
1	199093600	199099199
1	199099800	199100999
17	25462600	25463999
17	61446800	61453399
18	11422600	11423599
18	27672200	27673599
18	78823600	78839599
19	1487200	1489199
19	56337600	56339399
20	49427000	49433599
X	21645800	21646999
X	119842600	119845399
1	262658800	262660599
1	262666400	262668799
1	262954400	262955399
1	264179200	264194999
1	264203000	264218799
1	264612200	264647799
2	67655000	67655599
2	253221200	253224199
3	41746200	41748199
3	51429800	51430399
3	82265800	82276599
3	117133600	117136199
3	174903200	174911199
3	174911800	174921999
3	174923400	174928999
3	174929600	174933599
3	174945000	174950799
3	174951400	174957799
3	174981600	174988399
3	175001400	175002199
3	175002800	175005799
4	121153600	121168599
4	153097800	153100999
4	153138800	153143999
4	153155000	153156799
5	99614000	99616799
5	99702600	99703599
5	116024000	116025399
6	77159600	77160599
7	36009000	36009599
7	36044600	36049399
7	36695400	36697399
1	104491800	104493799
1	104494600	104501799
7	50776400	50778199
7	50805800	50806399
7	61986800	61989399
7	62017400	62018599
7	62048400	62050599
7	67633000	67633399
7	109359800	109363199
7	132821600	132823199
7	139411200	139412999
1	126427800	126428999
8	9625600	9626799
8	13738600	13741799
8	18292400	18292799
8	75485800	75487399
8	126648800	126655599
8	126730200	126735399
1	136518800	136524799
9	14218400	14222999
9	14227000	14228799
9	14231600	14236799
9	14257200	14274999
9	14286200	14286799
9	56389400	56389799
9	107553000	107553599
9	109050200	109051599
9	115753800	115755599
9	117929200	117929599
10	6559200	6561199
10	6627600	6628999
10	6658000	6663199
10	6668000	6672399
10	6673200	6674999
10	6690000	6690999
10	43353600	43363999
10	43393800	43399799
11	29661400	29662599
11	35146000	35149399
11	35150000	35164199
11	35166400	35185599
11	35186600	35192199
11	35193200	35200599
11	35223000	35225999
11	35232000	35248199
11	55861400	55863399
11	72400400	72401999
12	6140400	6141999
12	26976600	26977199
12	46227800	46230399
12	48729600	48733599
13	2629400	2634399
13	2689200	2691399
13	2784200	2785799
13	2800400	2801199
13	5099400	5101799
13	9592800	9593799
13	9796400	9797399
13	9811600	9812399
13	10343000	10343799
13	10609200	10610199
13	10940800	10942399
13	15995000	15996999
13	16012800	16013799
13	16097400	16098399
13	16124000	16124999
13	16302000	16303399
13	16419000	16421199
13	17176000	17176999
13	32136200	32142599
13	47872600	47878599
13	94757200	94759399
13	109807000	109807999
14	7684800	7686799
14	31393400	31394399
14	49919600	49920599
14	49967400	49968199
14	50823800	50824399
14	50828000	50829599
1	184506600	184512799
14	101520200	101521199
15	1385400	1387399
15	8789200	8790399
15	8829800	8832599
15	41807800	41812199
15	85033800	85035599
15	85159800	85162399
16	64310400	64311399
16	64336000	64337399
16	70541200	70552999
16	70554000	70554999
17	10716000	10716999
17	17305800	17307599
17	26521800	26523799
17	26638600	26640199
17	56513000	56521599
17	56540200	56543399
17	56573200	56574799
17	56580800	56582399
17	56667600	56668799
17	56676800	56678199
17	56683800	56685799
17	63211000	63215599
17	90655600	90657399
18	2129000	2129999
18	15242400	15250599
18	17768200	17772999
18	17827000	17835999
18	62340000	62340799
1	208782000	208784199
1	208784800	208785999
1	208806800	208821599
19	17234200	17237999
19	17254200	17255999
20	8045400	8045999
20	12707200	12716999
20	38652800	38653199
20	38760600	38762199
20	46541000	46543199
X	33744200	33744999
X	103812000	103812799
X	103961600	103963199
X	133603000	133603399
X	133604200	133604999
1	246912800	246914999
1	249271200	249272199
1	249297200	249297599
2	33332000	33333799
2	33382400	33382999
2	33419800	33422799
2	33426000	33427399
2	33529800	33535799
2	33634200	33644199
2	33647600	33649599
2	48134600	48135799
2	48161800	48162799
2	53645200	53645999
2	60047600	60049599
2	67928200	67929399
2	109555800	109556999
2	182531000	182532999
2	182636000	182638199
2	210156200	210162399
2	213564000	213564799
3	31916200	31918999
3	44745800	44750399
3	141453800	141471999
3	141503000	141505999
4	17771200	17772999
4	17907600	17912599
4	17990400	17992399
4	33558000	33559399
4	51074400	51075399
4	143758600	143758999
4	143873600	143874599
4	174882600	174888799
4	174954000	174957599
4	174961800	174963199
4	174979800	174981999
4	176421800	176422999
4	179559200	179564199
4	179939600	179941199
4	179942800	179950399
5	462400	463199
1	90356400	90359599
1	90384400	90388999
5	42147000	42147399
5	42211400	42212999
5	42272800	42275999
5	55259400	55260199
5	55587000	55588199
5	55905200	55906599
5	63676600	63679599
5	67309000	67311799
5	67467000	67467799
5	71375200	71377399
5	105069000	105070799
5	113374200	113375599
5	127065000	127115999
5	132981400	132982399
5	133035800	133037199
5	170850000	170851199
5	170884200	170890399
5	170907800	170909399
5	170926000	170944599
4	161917400	161919999
7	124084800	124100199
7	124100800	124123599
10	1980800	1982199
1	80329200	80334799
15	27817600	27820799
1	1180200	1187599
1	1212800	1214399
1	1238400	1239599
1	1255200	1256599
1	1273400	1276199
1	1367000	1375199
1	1393200	1395799
1	1398000	1404799
1	1415400	1416599
1	1424200	1425999
1	1525600	1532999
1	1533600	1536599
1	1668400	1669599
1	7156800	7162599
1	7800600	7801199
1	9720600	9721199
1	9839200	9841599
