Chromosome	Gene-Start	Gene-End	Gene-ID	Gene-Name	Peaks-on-Gene-Body	Mean-Distance-of-Gene-to-Nearest-Peaks	sd	Number-of-Peaks-Associated-with-Gene
8	119908841	124346222	ENSMUSG00000092329	Gm20388	781	0	0	781
7	130161951	133125350	ENSMUSG00000030849	Fgfr2	165	0	0	165
4	150916822	151863876	ENSMUSG00000014592	Camta1	77	0	0	77
18	38599534	39376784	ENSMUSG00000036452	Arhgap26	62	0	0	62
1	73909731	74126449	ENSMUSG00000055322	Tns1	57	95.3965517241379	726.518493012845	58
17	86165785	86658419	ENSMUSG00000045038	Prkce	57	65.2931034482759	497.257461239769	58
10	60302248	60698490	ENSMUSG00000012819	Cdh23	57	0	0	57
14	25457185	25667243	ENSMUSG00000007817	Zmiz1	55	0	0	55
11	118489262	118913597	ENSMUSG00000025576	Rbfox3	51	0	0	51
11	88338882	88720513	ENSMUSG00000069769	Msi2	49	0	0	49
17	46469501	46825721	ENSMUSG00000097560	Gm26904	47	0	0	47
1	89452806	89898117	ENSMUSG00000055013	Agap1	46	0	0	46
5	125016653	125181219	ENSMUSG00000029478	Ncor2	46	0	0	46
11	119600905	119900076	ENSMUSG00000025583	Rptor	46	0	0	46
19	47259674	47466411	ENSMUSG00000053617	Sh3pxd2a	46	0	0	46
5	110877803	111290280	ENSMUSG00000033209	Ttc28	43	0	0	43
18	75430724	75699696	ENSMUSG00000052928	Ctif	41	136.093023255814	842.98979867164	43
6	90655588	90990685	ENSMUSG00000034312	Iqsec1	41	0	0	41
11	117197661	117362825	ENSMUSG00000059248	Sept9	40	2186.47826086957	6907.73705263929	46
7	139387109	139580152	ENSMUSG00000025477	Inpp5a	40	1856.77777777778	7131.91377124009	45
5	36016680	36400139	ENSMUSG00000029093	Sorcs2	40	303.904761904762	1414.91021536271	42
2	33132917	33373486	ENSMUSG00000038831	Ralgps1	40	0	0	40
4	154315625	154638873	ENSMUSG00000039410	Prdm16	39	152.536585365854	691.055247341375	41
8	117255064	117459930	ENSMUSG00000034390	Cmip	39	173.951219512195	865.622491367326	41
5	140008189	140323552	ENSMUSG00000029554	Mad1l1	37	478.71052631579	2950.9698717897	38
7	143104362	143427542	ENSMUSG00000009545	Kcnq1	37	0	0	37
9	121295502	121475418	ENSMUSG00000032536	Trak1	37	0	0	37
4	136647039	136837988	ENSMUSG00000028664	Ephb2	36	378.72972972973	2303.72300910997	37
5	113085823	113223236	ENSMUSG00000051339	2900026A02Rik	36	0	0	36
1	135434080	135609295	ENSMUSG00000009418	Nav1	35	0	0	35
5	124118190	124251760	ENSMUSG00000029406	Pitpnm2	35	0	0	35
6	127960896	128145594	ENSMUSG00000030352	Tspan9	35	0	0	35
17	25792894	25965284	ENSMUSG00000097518	Gm26694	35	0	0	35
19	7054768	7198561	ENSMUSG00000036278	Macrod1	35	0	0	35
8	125052195	125262358	ENSMUSG00000043051	Disc1	34	0	0	34
17	4992332	5348156	ENSMUSG00000069729	Arid1b	34	0	0	34
4	148802429	148955389	ENSMUSG00000028977	Casz1	33	4195.425	10043.2070291381	40
4	146152956	147026959	ENSMUSG00000096958	Gm26573	33	546.5	2057.11483810284	36
2	35556266	35731494	ENSMUSG00000026883	Dab2ip	33	20.7941176470588	121.249499695754	34
2	165783652	165901016	ENSMUSG00000039671	Zmynd8	33	278.058823529412	1621.34762393728	34
2	27261604	27429033	ENSMUSG00000009621	Vav2	33	0	0	33
11	79012940	79148407	ENSMUSG00000018334	Ksr1	32	502.470588235294	2077.78524622054	34
6	120931207	121132999	ENSMUSG00000051586	Mical3	32	0	0	32
8	125417563	125571808	ENSMUSG00000001995	Sipa1l2	31	11076.152173913	22394.6710119145	46
2	166565842	166715832	ENSMUSG00000039621	Prex1	31	1456.11111111111	4366.08335616899	36
6	84006590	84211560	ENSMUSG00000033788	Dysf	31	0	0	31
7	48906716	49610590	ENSMUSG00000052512	Nav2	31	0	0	31
11	76416234	76624314	ENSMUSG00000017631	Abr	31	0	0	31
11	107207392	107472699	ENSMUSG00000040430	Pitpnc1	31	0	0	31
8	87661310	87961595	ENSMUSG00000045333	Zfp423	30	325.375	1839.50438188327	32
14	25257023	25463128	ENSMUSG00000087535	Zmiz1os1	30	736.290322580645	4099.49101876114	31
1	91928279	92197699	ENSMUSG00000026313	Hdac4	30	0	0	30
19	57032233	57316919	ENSMUSG00000025085	Ablim1	29	274.5	1503.49842035168	30
4	62557847	62704501	ENSMUSG00000059810	Rgs3	29	0	0	29
5	121855866	122052102	ENSMUSG00000042589	Cux2	29	0	0	29
9	56617975	56798468	ENSMUSG00000049556	Lingo1	29	0	0	29
9	62418992	62539044	ENSMUSG00000041729	Coro2b	28	328.451612903226	1484.28898441217	31
5	24862244	25102642	ENSMUSG00000028944	Prkag2	28	463.655172413793	2496.85951712864	29
12	110445120	110583562	ENSMUSG00000017843	Ppp2r5c	28	528.344827586207	2845.22397154879	29
11	102861337	103076403	ENSMUSG00000097410	Gm26668	28	0	0	28
16	33968573	34575532	ENSMUSG00000061751	Kalrn	28	0	0	28
17	27907340	28063100	ENSMUSG00000024219	Anks1	28	0	0	28
1	90996737	91129444	ENSMUSG00000026305	Lrrfip1	27	0	0	27
4	134561190	134706290	ENSMUSG00000037306	Man1c1	27	0	0	27
4	154168730	154276213	ENSMUSG00000057751	Megf6	27	0	0	27
6	118586740	119198418	ENSMUSG00000051331	Cacna1c	27	0	0	27
12	99189578	99565582	ENSMUSG00000033713	Foxn3	27	0	0	27
9	48653797	48838222	ENSMUSG00000066687	Zbtb16	26	1585	4559.06404868368	31
5	134357156	134458716	ENSMUSG00000023079	Gtf2ird1	26	671.51724137931	2254.53325262506	29
4	139190899	139292318	ENSMUSG00000028745	Capzb	26	33.3703703703704	173.397530846618	27
1	180328485	180425302	ENSMUSG00000038855	Itpkb	26	0	0	26
7	28399022	28600144	ENSMUSG00000109336	Samd4b	26	0	0	26
11	118021223	118132634	ENSMUSG00000033987	Dnah17	26	0	0	26
12	102568082	102706930	ENSMUSG00000057963	Itpk1	26	0	0	26
15	86212459	86499003	ENSMUSG00000051864	Tbc1d22a	26	0	0	26
2	168475910	168603657	ENSMUSG00000027544	Nfatc2	25	946.322580645161	2389.28112462161	31
8	118281733	119325421	ENSMUSG00000031841	Cdh13	25	1828.75	5636.81526596292	28
4	137466769	137571130	ENSMUSG00000028763	Hspg2	25	168.222222222222	735.129937930041	27
4	140513985	140668012	ENSMUSG00000040964	Arhgef10l	25	436.074074074074	1876.56808124106	27
2	156611705	156764863	ENSMUSG00000061689	Dlgap4	25	0	0	25
8	107940644	108962130	ENSMUSG00000038872	Zfhx3	25	0	0	25
9	120954851	121279197	ENSMUSG00000040936	Ulk4	25	0	0	25
11	68208864	68402823	ENSMUSG00000020902	Ntn1	25	0	0	25
11	77761246	77866480	ENSMUSG00000000631	Myo18a	25	0	0	25
19	6416731	6544669	ENSMUSG00000033768	Nrxn2	25	0	0	25
2	29617720	29741478	ENSMUSG00000039844	Rapgef1	24	5924.4	13014.4241506266	30
2	32149082	32235037	ENSMUSG00000039262	Prrc2b	24	1354.85714285714	3612.25877538106	28
7	99379414	99462377	ENSMUSG00000035314	Gdpd5	24	355.076923076923	1766.99566322223	26
4	106908701	107050194	ENSMUSG00000061887	Ssbp3	24	180.12	900.6	25
2	33729453	33889946	ENSMUSG00000038740	Mvb12b	24	0	0	24
4	147017735	147494201	ENSMUSG00000097168	C230088H06Rik	24	0	0	24
7	29319872	29520641	ENSMUSG00000030583	Sipa1l3	24	0	0	24
8	12871806	13021405	ENSMUSG00000031442	Mcf2l	24	0	0	24
10	39366855	39565881	ENSMUSG00000019843	Fyn	24	0	0	24
10	60762093	60833581	ENSMUSG00000020099	Unc5b	24	0	0	24
11	118131519	118250592	ENSMUSG00000017132	Cyth1	24	0	0	24
14	11551532	12242541	ENSMUSG00000021745	Ptprg	24	0	0	24
15	27730151	28027848	ENSMUSG00000022263	Trio	24	0	0	24
17	87280886	87382269	ENSMUSG00000036918	Ttc7	24	0	0	24
19	40294253	40515779	ENSMUSG00000025006	Sorbs1	24	0	0	24
2	93201260	93336505	ENSMUSG00000027217	Tspan18	23	1762.37037037037	4931.68184877632	27
10	61319156	61385530	ENSMUSG00000020092	Pald1	23	56.5833333333333	277.200589224963	24
4	139350609	139490088	ENSMUSG00000066036	Ubr4	23	0	0	23
5	139359239	139462527	ENSMUSG00000053553	3110082I17Rik	23	0	0	23
7	101408886	101513319	ENSMUSG00000030653	Gm45837	23	0	0	23
8	11310805	11449787	ENSMUSG00000031503	Col4a2	23	0	0	23
8	33782143	33931863	ENSMUSG00000031586	Rbpms	23	0	0	23
10	82983498	83196400	ENSMUSG00000034612	Chst11	23	0	0	23
11	60103013	60199697	ENSMUSG00000062115	Rai1	23	0	0	23
14	121541546	121799837	ENSMUSG00000025558	Dock9	23	0	0	23
18	75818178	76149061	ENSMUSG00000044646	Zbtb7c	23	0	0	23
15	83604499	83727021	ENSMUSG00000016763	Scube1	22	1912.30769230769	5630.5227520665	26
6	91976878	92076504	ENSMUSG00000034037	Fgd5	22	977.6	3030.11726945785	25
4	137991022	138209008	ENSMUSG00000028760	Eif4g3	22	1018.66666666667	3577.87883075101	24
4	152176134	152272355	ENSMUSG00000028937	Acot7	22	19.6666666666667	72.8635810901122	24
2	31312415	31461238	ENSMUSG00000055632	Hmcn2	22	50.5652173913044	242.502263548378	23
4	142101890	142241401	ENSMUSG00000040606	Kazn	22	151.826086956522	728.132333887305	23
11	32531305	32625087	ENSMUSG00000020272	Stk10	22	91.9130434782609	440.799471316656	23
12	102281048	102391355	ENSMUSG00000044456	Rin3	22	63.0434782608696	302.345900382758	23
19	3584328	3688564	ENSMUSG00000024913	Lrp5	22	66.5217391304348	319.027053507324	23
2	179440431	179899873	ENSMUSG00000000305	Cdh4	22	0	0	22
4	140026346	140248784	ENSMUSG00000040972	Igsf21	22	0	0	22
5	136247635	136569490	ENSMUSG00000029705	Cux1	22	0	0	22
6	72625878	72791254	ENSMUSG00000055799	Tcf7l1	22	0	0	22
6	113743331	114044613	ENSMUSG00000030302	Atp2b2	22	0	0	22
7	67950827	68234168	ENSMUSG00000005533	Igf1r	22	0	0	22
7	112677318	112907307	ENSMUSG00000055320	Tead1	22	0	0	22
7	145186024	145286011	ENSMUSG00000048677	Tpcn2	22	0	0	22
8	12755014	12869228	ENSMUSG00000031441	Atp11a	22	0	0	22
8	84699376	84802344	ENSMUSG00000001911	Nfix	22	0	0	22
11	58993756	59138402	ENSMUSG00000061462	Obscn	22	0	0	22
11	76256698	76401140	ENSMUSG00000020844	Nxn	22	0	0	22
11	97413533	97502902	ENSMUSG00000049807	Arhgap23	22	0	0	22
12	100911023	101031056	ENSMUSG00000021182	Ccdc88c	22	0	0	22
14	27112899	27404411	ENSMUSG00000021895	Arhgef3	22	0	0	22
15	77760087	77844175	ENSMUSG00000022443	Myh9	22	0	0	22
16	10543339	10745378	ENSMUSG00000068663	Clec16a	22	0	0	22
16	30954644	31083432	ENSMUSG00000047434	Xxylt1	22	0	0	22
17	66666447	67356457	ENSMUSG00000033278	Ptprm	22	0	0	22
7	112223856	112355694	ENSMUSG00000038244	Mical2	21	1849.28	4476.29656747629	25
5	35755880	35885473	ENSMUSG00000029095	Ablim2	21	851.916666666667	2523.23708439337	24
4	150279646	150622466	ENSMUSG00000039852	Rere	21	630.260869565217	2089.04878783255	23
12	3804007	3914943	ENSMUSG00000020661	Dnmt3a	21	1339.91304347826	4530.6086377504	23
2	29344819	29525293	ENSMUSG00000026799	Med27	21	1182.77272727273	5547.69584028934	22
9	107397612	107529843	ENSMUSG00000010066	Cacna2d2	21	446.090909090909	2092.35183031396	22
1	133162210	133303935	ENSMUSG00000041757	Plekha6	21	0	0	21
2	167095469	167192155	ENSMUSG00000050556	Kcnb1	21	0	0	21
3	51685407	52107076	ENSMUSG00000061143	Maml3	21	0	0	21
3	122292136	122530691	ENSMUSG00000028121	Bcar3	21	0	0	21
4	57566179	57897482	ENSMUSG00000089945	Pakap	21	0	0	21
5	123046873	123232871	ENSMUSG00000097213	Gm26745	21	0	0	21
5	135406031	135547120	ENSMUSG00000039959	Hip1	21	0	0	21
6	91682053	91759566	ENSMUSG00000030096	Slc6a6	21	0	0	21
13	62962893	63326596	ENSMUSG00000021458	2010111I01Rik	21	0	0	21
2	27674440	27763457	ENSMUSG00000015846	Rxra	20	11150.4375	18549.5756162872	32
18	80605705	80715071	ENSMUSG00000033016	Nfatc1	20	4850.81481481481	12317.2403816047	27
4	137860237	137965729	ENSMUSG00000057530	Ece1	20	1900.73913043478	5608.07352449364	23
5	118558679	118765938	ENSMUSG00000018076	Med13l	20	2341	7499.14061743077	23
4	155153575	155224592	ENSMUSG00000029050	Ski	20	335.727272727273	1451.03786113901	22
7	143999928	144424994	ENSMUSG00000037541	Shank2	20	1766.36363636364	5717.92881703768	22
17	49991757	50192674	ENSMUSG00000039316	Rftn1	20	593.363636363636	2058.40540561203	22
9	106279061	106351021	ENSMUSG00000023345	Poc1a	20	31.5714285714286	144.678461226463	21
11	88096058	88194640	ENSMUSG00000018378	Cuedc1	20	21.9047619047619	100.380229508557	21
2	153406962	153531971	ENSMUSG00000061411	Nol4l	20	0	0	20
4	154982615	155058784	ENSMUSG00000029055	Plch2	20	0	0	20
5	34947445	35040144	ENSMUSG00000029101	Rgs12	20	0	0	20
8	13566448	13679603	ENSMUSG00000031453	Rasa3	20	0	0	20
9	118604690	118901503	ENSMUSG00000039115	Itga9	20	0	0	20
10	86054625	86500896	ENSMUSG00000059602	Syn3	20	0	0	20
11	79589212	79698523	ENSMUSG00000017639	Rab11fip4	20	0	0	20
12	108368957	108540117	ENSMUSG00000058070	Eml1	20	0	0	20
15	75753930	75843915	ENSMUSG00000075600	Zc3h3	20	0	0	20
16	10958775	11068157	ENSMUSG00000022500	Litaf	20	0	0	20
17	26559489	26657431	ENSMUSG00000001576	Ergic1	20	0	0	20
17	30215024	30578287	ENSMUSG00000062202	Btbd9	20	0	0	20
5	142724161	142819662	ENSMUSG00000039477	Tnrc18	19	641.809523809524	2143.10444493607	21
12	80167047	80262371	ENSMUSG00000015143	Actn1	19	652.285714285714	2064.00814297951	21
15	84230043	84316188	ENSMUSG00000022438	Parvb	19	164.666666666667	751.624130355947	21
17	86751907	86833910	ENSMUSG00000024140	Epas1	19	1400.85714285714	4488.98065584732	21
5	103690374	103855822	ENSMUSG00000029313	Aff1	19	98.8	441.847032353958	20
11	5969144	6068362	ENSMUSG00000057897	Camk2b	19	71.95	321.77018196222	20
11	51949382	52271514	ENSMUSG00000097219	Gm26551	19	579.2	2590.26114513576	20
2	4015717	4614543	ENSMUSG00000026657	Frmd4a	19	0	0	19
2	26457403	26518663	ENSMUSG00000026923	Notch1	19	0	0	19
3	87747390	87826306	ENSMUSG00000028073	Pear1	19	0	0	19
4	107432591	107635561	ENSMUSG00000034762	Glis1	19	0	0	19
5	66298203	66620784	ENSMUSG00000029207	Apbb2	19	0	0	19
5	115504676	115556487	ENSMUSG00000029528	Pxn	19	0	0	19
6	98924838	99524721	ENSMUSG00000030067	Foxp1	19	0	0	19
8	11197923	11314826	ENSMUSG00000031502	Col4a1	19	0	0	19
9	46010820	46224694	ENSMUSG00000034135	Sik3	19	0	0	19
9	64383626	64709705	ENSMUSG00000036466	Megf11	19	0	0	19
12	100300270	100522826	ENSMUSG00000033530	Ttc7b	19	0	0	19
13	45549255	45967008	ENSMUSG00000046876	Atxn1	19	0	0	19
14	121033200	121284244	ENSMUSG00000025555	Farp1	19	0	0	19
16	11320908	11755972	ENSMUSG00000071669	Snx29	19	0	0	19
4	149895783	149957043	ENSMUSG00000039911	Spsb1	18	4661.66666666667	8333.71592711476	27
17	29827456	29972087	ENSMUSG00000043557	Mdga1	18	4456.08695652174	9159.01857541637	23
5	113488333	113590225	ENSMUSG00000063430	Wscd2	18	2717.31818181818	6393.64287238924	22
13	49035803	49150014	ENSMUSG00000037989	Wnk2	18	1935.63636363636	4497.53397557727	22
2	33560465	33642511	ENSMUSG00000038765	Lmx1b	18	736.7	3232.32717370856	20
5	120114465	120199481	ENSMUSG00000029594	Rbm19	18	966.7	3059.85551946493	20
15	86055695	86138134	ENSMUSG00000035900	Gramd4	18	179.7	625.450414543496	20
18	60593473	60662142	ENSMUSG00000043079	Synpo	18	615.9	1918.05693620557	20
1	152516260	152768351	ENSMUSG00000026482	Rgl1	18	87.4736842105263	381.288949692874	19
2	166072589	166157663	ENSMUSG00000006800	Sulf2	18	680.947368421053	2968.18076481733	19
5	112688376	112898362	ENSMUSG00000072720	Myo18b	18	72.5263157894737	316.134881273634	19
9	63646267	63759994	ENSMUSG00000032402	Smad3	18	547.736842105263	2387.52954239094	19
11	113775874	114069046	ENSMUSG00000041592	Sdk2	18	277.684210526316	1210.39741190108	19
2	27884425	28040014	ENSMUSG00000026837	Col5a1	18	0	0	18
2	32874114	32925754	ENSMUSG00000026796	Fam129b	18	0	0	18
2	169631013	170072316	ENSMUSG00000047907	Tshz2	18	0	0	18
4	117270963	117499052	ENSMUSG00000028677	Rnf220	18	0	0	18
4	118207713	118293405	ENSMUSG00000033295	Ptprf	18	0	0	18
4	119731784	120138545	ENSMUSG00000028634	Hivep3	18	0	0	18
4	141889938	142017082	ENSMUSG00000051435	Fhad1	18	0	0	18
4	148446611	148558183	ENSMUSG00000028991	Mtor	18	0	0	18
5	114144535	114251261	ENSMUSG00000042010	Acacb	18	0	0	18
6	55201383	55320722	ENSMUSG00000038022	Mindy4	18	0	0	18
6	85212549	85335422	ENSMUSG00000033720	Sfxn5	18	0	0	18
