chr	start	end
chr14	47568150	47568449
chr5	120613050	120613299
chr5	137502200	137502449
chr17	15025300	15025549
chr11	63132650	63132899
chr3	100685950	100686199
chr16	90776300	90776699
chr14	62332250	62332499
chr1	191396700	191397049
chr18	14822500	14822749
chr11	115933200	115933349
chr10	84917300	84917699
chr4	48051350	48051649
chr19	8826550	8826899
chr1	194756000	194756199
chr1	9567850	9568249
chr12	78862000	78862299
chr7	112679800	112680099
chr6	108460100	108460449
chr6	88447000	88447299
chr5	135041450	135041699
chr2	60707800	60708049
chr1	66836000	66836299
chr5	24602050	24602299
chr4	41530550	41530699
chr19	45749250	45749499
chr19	41977500	41977799
chr19	38291950	38292099
chr17	29295100	29295299
chr12	21319350	21319599
chr1	190902600	190902799
chr9	110694800	110695049
chr9	73004050	73004249
chr8	47914450	47914599
chr7	101753050	101753199
chr7	29820550	29820699
chr5	122707450	122707749
chr4	116075550	116075849
chr3	101417500	101417699
chr12	99390400	99390649
chr11	5659200	5659449
chr11	3468850	3469199
chr1	106706700	106706849
chr1	92465800	92465999
chr9	122177200	122177349
chr8	122432600	122432849
chr7	4932300	4932549
chr5	143560450	143560649
chr5	130329750	130330099
chr4	151599100	151599249
chr2	119379850	119380049
chr17	49485200	49485399
chr13	58021600	58021849
chr13	36309750	36309899
chr12	80106150	80106399
chr11	57644700	57644899
chr10	88503750	88503949
chr10	22424650	22424849
chr9	113683050	113683349
chr9	107499000	107499149
chr8	105923750	105924099
chr7	19553650	19553749
chr4	149631200	149631399
chr19	47663950	47664049
chr19	21652800	21652999
chr18	38213600	38213799
chr15	76380600	76380799
chr12	80384750	80384999
chr11	120365650	120365899
chr11	101735800	101735999
chr10	78208450	78208699
chr1	152028950	152029099
chr9	108102150	108102399
chr5	110285900	110286199
chr5	36796450	36796699
chr4	152283350	152283599
chr3	122729200	122729449
chr19	57072900	57073349
chr19	10101000	10101199
chr17	47513350	47513649
chr14	65620100	65620249
chr11	120005100	120005299
chr9	27124400	27124749
chr8	84704050	84704299
chr8	72409450	72409699
chr8	45363600	45363799
chr7	130938750	130938999
chr6	117917250	117917449
chr5	112918200	112918349
chr4	119300200	119300449
chr4	43425750	43425999
chr4	34882400	34882599
chr3	88503000	88503149
chr3	55436750	55436899
chr19	7485050	7485249
chr19	5148050	5148249
chr18	10817800	10817949
chr15	41817600	41817799
chr14	47048600	47048799
chr12	54738550	54738799
chr10	93539650	93539999
chr1	139021650	139021849
chr1	62781300	62781499
chr9	58884250	58884449
chr9	57925150	57925399
chr9	45906550	45906749
chr9	40800750	40800999
chr9	35211100	35211299
chr8	122481700	122481949
chr8	121919050	121919349
chr7	131010050	131010249
chr7	102247850	102248049
chr6	146459250	146459549
chr6	142897350	142897499
chr6	54972050	54972249
chr4	137993000	137993249
chr17	37043950	37044149
chr15	82346000	82346249
chr13	56772700	56772899
chr13	6606050	6606349
chr11	58642100	58642249
chr1	190928500	190928749
chr1	155058650	155058849
chr1	55086900	55087199
chr14	54596750	54596899
chr9	118615050	118615249
chr9	101073500	101073649
chr9	9674550	9674699
chr8	122502250	122502449
chr8	84749150	84749349
chr8	64201800	64201999
chr8	33922250	33922499
chr8	3676450	3676649
chr7	132674100	132674349
chr7	97038100	97038299
chr7	75852000	75852149
chr7	49440750	49440899
chr6	87496300	87496549
chr5	139354600	139354849
chr5	9672900	9673049
chr4	121078350	121078549
chr4	41722850	41723049
chr4	21824450	21824599
chr3	104817800	104818049
chr3	30796050	30796299
chr2	160730250	160730449
chr2	158667100	158667299
chr18	50049600	50049849
chr18	38297250	38297499
chr17	27634950	27635099
chr16	32878500	32878849
chr15	98633900	98634099
chr15	98545100	98545349
chr15	77017450	77017649
chr13	58402200	58402399
chr13	54626750	54626999
chr13	52910300	52910499
chr13	18808250	18808449
chr11	113709550	113709799
chr11	101340050	101340299
chr11	101190550	101190749
chr11	77078100	77078349
chr11	72765450	72765749
chr11	61236450	61236649
chr11	59019950	59020199
chr11	58324700	58324949
chr10	89659650	89659899
chr10	61752150	61752299
chr1	153899550	153899749
chr1	91045750	91045999
chr1	82316600	82316849
chr9	48835500	48835799
chr9	45799750	45799899
chr8	124664300	124664499
chr8	109595750	109595999
chr8	105346500	105346799
chr8	104245000	104245249
chr8	87662350	87662599
chr8	41017350	41017599
chr7	141215800	141216099
chr7	135642750	135642999
chr7	126792200	126792449
chr7	44989500	44989749
chr7	16919950	16920199
chr6	146199800	146199999
chr6	115009650	115009849
chr6	99083850	99083999
chr5	147109400	147109699
chr5	146297200	146297449
chr5	139800150	139800349
chr5	113818100	113818399
chr5	113077400	113077599
chr5	33275800	33275949
chr4	137477150	137477349
chr4	82504700	82504899
chr3	60501450	60501599
chr3	30933400	30933549
chr2	173014500	173014649
chr2	59854300	59854549
chr2	32450800	32451049
chr2	29965750	29966149
chr2	27751650	27751799
chr19	8815200	8815399
chr17	72922000	72922249
chr17	47623550	47623749
chr17	32363600	32363849
chr15	83377300	83377549
chr15	78707000	78707199
chr15	36791100	36791349
chr15	30894000	30894199
chr14	60638450	60638599
chr13	119690550	119690699
chr13	63304400	63304549
chr12	70937500	70937699
chr12	28675300	28675449
chr11	117309850	117310099
chr11	96923600	96923799
chr11	95305900	95306099
chr11	86256100	86256249
chr11	51289950	51290149
chr10	80740950	80741249
chr1	153223450	153223649
chr1	58160650	58160849
chr2	22589050	22589299
chr13	12565850	12566049
chrX	137783450	137783649
chrX	101443250	101443499
chrX	88084350	88084549
chrX	47913100	47913199
chr9	108339350	108339549
chr9	44685500	44685699
chr9	21546300	21546549
chr9	7764200	7764449
chr8	123609950	123610149
chr8	117544600	117544849
chr8	106273250	106273449
chr8	91530300	91530399
chr8	88661250	88661499
chr8	70151300	70151499
chr8	4238200	4238499
chr7	101896350	101896549
chr7	101463350	101463599
chr7	100639850	100640099
chr7	65695850	65696049
chr6	134038650	134038899
chr6	39464450	39464649
chr6	28851700	28851849
chr5	142817100	142817299
chr5	137487950	137488199
chr5	122488600	122488749
chr5	117227050	117227249
chr5	110582850	110583049
chr5	65274800	65274949
chr4	155788950	155789049
chr4	154243650	154243799
chr4	133176100	133176349
chr4	123816100	123816249
chr4	59805750	59805949
chr4	48070800	48070949
chr4	46715150	46715399
chr3	142824250	142824349
chr3	96635650	96635799
chr3	5416100	5416249
chr2	165519000	165519199
chr2	150749150	150749299
chr2	70676200	70676349
chr2	59671950	59672099
chr2	35649450	35649699
chr19	37579400	37579649
chr18	38844050	38844249
chr17	65613650	65613799
chr17	46743550	46743799
chr17	46387600	46387849
chr17	33929200	33929349
chr17	31984950	31985099
chr16	77115400	77115549
chr16	34256400	34256599
chr15	99702200	99702449
chr15	83032050	83032199
chr15	37002950	37003099
chr13	107889100	107889299
chr12	34398850	34399099
chr12	4438750	4438849
chr11	119615950	119616199
chr11	95364550	95364649
chr11	82803150	82803449
chr11	17159250	17159649
chr11	4171200	4171399
chr10	81395000	81395249
chr10	63243800	63244049
chr10	61236400	61236649
chr1	155083900	155084199
chr1	136176850	136177049
chr1	93224050	93224249
chr1	16115000	16115149
chr11	45955150	45955349
chr6	47771950	47772299
chr3	15528100	15528249
chr11	98836750	98836899
chr9	114549500	114549649
chr9	72290900	72290999
chr9	57135350	57135549
chr9	15279600	15279849
chr9	14557650	14557799
chr8	120721200	120721349
chr8	118493500	118493699
chr8	106058700	106059099
chr8	84265150	84265449
chr8	25182300	25182549
chr7	128110150	128110299
chr7	127249900	127250149
chr7	105471150	105471349
chr7	101384000	101384199
chr7	100413250	100413399
chr7	99879450	99879649
chr7	28597400	28597599
chr7	27365600	27365749
chr7	27234400	27234599
chr7	16123950	16124099
chr7	6177250	6177449
chr6	55203400	55203549
chr6	8544700	8544949
chr6	4957650	4957749
chr5	144768450	144768649
chr5	140321200	140321449
chr5	129183800	129183999
chr5	124232500	124232649
chr5	121649350	121649549
chr5	118589700	118589949
chr5	115970000	115970099
chr5	110355200	110355449
chr5	101869450	101869599
chr5	92617600	92617749
chr5	24704350	24704599
chr4	155891850	155892049
chr4	148485850	148485949
chr4	126202950	126203149
chr4	53137200	53137399
chr4	21805350	21805599
chr3	32736550	32736699
chr2	174858550	174858799
chr2	173600650	173600799
chr2	169647100	169647249
chr2	165767350	165767449
chr2	157078900	157079149
chr2	122249400	122249649
chr2	91057900	91058099
chr2	73279600	73279799
chr2	37786050	37786199
chr2	32929850	32930149
chr2	10370400	10370649
chr19	46622900	46623149
chr19	32315250	32315349
chr19	7016700	7016899
chr18	74293200	74293399
chr18	38210150	38210349
chr17	63419450	63419649
chr17	56272750	56273049
chr17	36084450	36084699
chr17	35965600	35965799
chr17	30468400	30468549
chr17	25258200	25258449
chr16	13373450	13373649
chr15	96294000	96294149
chr15	94807650	94807849
chr15	93558550	93558699
chr15	79435600	79435849
chr15	64239400	64239599
chr15	38558800	38558949
chr14	67737750	67737949
chr14	56886950	56887199
chr14	54576700	54576849
chr14	27394150	27394299
chr12	81143550	81143799
chr12	79086150	79086399
chr12	71134100	71134349
chr12	59066550	59066699
chr12	12274400	12274549
