Chromosome	 Peak-Start	 Peak-End	 Chromosome	 Gene-Start	 Gene-End	 Gene-ID	 Gene-Name	 Distance-of-Gene-to-Nearest-Peak
1	4586400	4588199	1	4582629	4588252	ENSMUSG00000104328	Gm37323	0
1	4769000	4770999	1	4769131	4772699	ENSMUSG00000103922	Gm6123	0
1	5071800	5073199	1	4909076	5072285	ENSMUSG00000002459	Rgs20	0
1	5110000	5112599	1	5068018	5163029	ENSMUSG00000033793	Atp6v1h	0
1	6213200	6215199	1	6204197	6277148	ENSMUSG00000025907	Rb1cc1	0
1	7396400	7398399	1	7348906	7399869	ENSMUSG00000097797	Gm26901	0
1	8189400	8191199	1	8360975	9301878	ENSMUSG00000025909	Sntg1	169777
1	9545400	9546999	1	9543408	9547955	ENSMUSG00000061024	Rrs1	0
1	9567800	9568399	1	9545948	9581173	ENSMUSG00000025911	Adhfe1	0
1	9625800	9628799	1	9560332	9633175	ENSMUSG00000079671	2610203C22Rik	0
1	10590800	10591799	1	10324220	10721945	ENSMUSG00000042501	Cpa6	0
1	10933000	10934199	1	10919670	10922260	ENSMUSG00000088585	Gm22963	10741
1	11230200	11230999	1	10991465	11304181	ENSMUSG00000048960	Prex2	0
1	11413200	11416599	1	11412105	11976401	ENSMUSG00000057715	A830018L16Rik	0
1	12657400	12657999	1	12653867	12657053	ENSMUSG00000098163	Gm6216	348
1	12657400	12657999	1	12653867	12657053	ENSMUSG00000098163	Gm6216	348
1	13131000	13133399	1	13112957	13129163	ENSMUSG00000042414	Prdm14	1838
1	13150600	13153599	1	13138605	13376083	ENSMUSG00000005886	Ncoa2	0
1	13253000	13255999	1	13138605	13376083	ENSMUSG00000005886	Ncoa2	0
1	13371400	13374399	1	13138605	13376083	ENSMUSG00000005886	Ncoa2	0
1	13372000	13374199	1	13138605	13376083	ENSMUSG00000005886	Ncoa2	0
1	13419200	13422399	1	13406512	13409655	ENSMUSG00000101171	Gm7593	9546
1	16070400	16074799	1	16065479	16095325	ENSMUSG00000067795	4930444P10Rik	0
1	16071600	16073799	1	16065479	16095325	ENSMUSG00000067795	4930444P10Rik	0
1	16092800	16094199	1	16065479	16095325	ENSMUSG00000067795	4930444P10Rik	0
1	16104800	16106199	1	16100795	16106662	ENSMUSG00000043716	Rpl7	0
1	16616000	16618799	1	16540290	16621489	ENSMUSG00000025939	Ube2w	0
1	16629200	16630399	1	16616560	16622039	ENSMUSG00000102457	Gm38342	7162
1	16739200	16741599	1	16757705	16760623	ENSMUSG00000100093	Gm29649	16107
1	16895400	16896599	1	16896185	17092131	ENSMUSG00000101640	Gm28376	0
1	17097200	17098799	1	16964060	17099889	ENSMUSG00000042686	Jph1	0
1	20660400	20663399	1	20667882	20684798	ENSMUSG00000099906	Gm28653	4484
1	21063600	21067799	1	20995799	21081229	ENSMUSG00000041779	Tram2	0
1	21077400	21079799	1	20995799	21081229	ENSMUSG00000041779	Tram2	0
1	21217800	21220599	1	21216575	21230667	ENSMUSG00000025933	Tmem14a	0
1	21632600	21632999	1	21397903	21963942	ENSMUSG00000028033	Kcnq5	0
